round_number,team_name,product_id,slot_name,product_name,forecast_units,actual_demand_units,actual_sales_units,forecast_error_units,absolute_error_units,forecast_bias_pct,mape_or_wape_value,run_id,team_count,market_scenario,market_label
2,Team 04,team_04_B,B,Court Starter,132,106.16,106,-25.84,25.84,-0.1958,0.2434,1,6,batch_001,Batch market 001
2,Team 04,team_04_C,C,Club Spin,98,172.53,81,74.53,74.53,0.7605,0.432,1,6,batch_001,Batch market 001
2,Team 05,team_05_A,A,Elite Spin Pro,85,143.48,86,58.48,58.48,0.688,0.4076,1,6,batch_001,Batch market 001
2,Team 05,team_05_B,B,Control Tour,95,130.67,96,35.67,35.67,0.3755,0.273,1,6,batch_001,Batch market 001
2,Team 05,team_05_C,C,Club Prestige,0,0.0,0,0.0,0.0,0.0,0.0,1,6,batch_001,Batch market 001
2,Team 06,team_06_A,A,Momentum Edge,158,130.69,0,-27.31,27.31,-0.1728,0.209,1,6,batch_001,Batch market 001
2,Team 06,team_06_B,B,Rise Power,112,127.85,0,15.85,15.85,0.1415,0.124,1,6,batch_001,Batch market 001
2,Team 06,team_06_C,C,Court Wave,145,99.02,0,-45.98,45.98,-0.3171,0.4644,1,6,batch_001,Batch market 001
3,Team 01,team_01_A,A,Momentum Edge,120,160.45,117,40.45,40.45,0.337,0.2521,1,6,batch_001,Batch market 001
3,Team 01,team_01_B,B,Rise Power,85,122.69,83,37.69,37.69,0.4435,0.3072,1,6,batch_001,Batch market 001
3,Team 01,team_01_C,C,Court Wave,110,119.57,107,9.57,9.57,0.087,0.08,1,6,batch_001,Batch market 001
3,Team 02,team_02_A,A,Vector X,81,123.39,78,42.39,42.39,0.5234,0.3436,1,6,batch_001,Batch market 001
3,Team 02,team_02_B,B,Axis Control,99,150.5,96,51.5,51.5,0.5202,0.3422,1,6,batch_001,Batch market 001
3,Team 02,team_02_C,C,Baseline Drive,0,0.0,0,0.0,0.0,0.0,0.0,1,6,batch_001,Batch market 001
3,Team 03,team_03_A,A,Starter Pop,121,124.85,116,3.85,3.85,0.0318,0.0308,1,6,batch_001,Batch market 001
3,Team 03,team_03_B,B,Club Value,106,103.39,103,-2.61,2.61,-0.0246,0.0253,1,6,batch_001,Batch market 001
3,Team 03,team_03_C,C,Flex Edge,72,142.83,69,70.83,70.83,0.9837,0.4959,1,6,batch_001,Batch market 001
3,Team 04,team_04_A,A,Club Control,153,123.19,127,-29.81,29.81,-0.1948,0.2419,1,6,batch_001,Batch market 001
3,Team 04,team_04_B,B,Court Starter,132,111.09,111,-20.91,20.91,-0.1584,0.1883,1,6,batch_001,Batch market 001
3,Team 04,team_04_C,C,Club Spin,98,180.52,81,82.52,82.52,0.8421,0.4571,1,6,batch_001,Batch market 001
3,Team 05,team_05_A,A,Elite Spin Pro,85,160.68,86,75.68,75.68,0.8904,0.471,1,6,batch_001,Batch market 001
3,Team 05,team_05_B,B,Control Tour,95,109.39,96,14.39,14.39,0.1515,0.1316,1,6,batch_001,Batch market 001
