round_number,team_name,archetype,active_product_count,active_project_count,launch_ready_project_count,launched_project_count,retired_product_count,total_forecast_units,total_actual_demand_units,forecast_error_units,absolute_forecast_error_units,forecast_wape,service_gap_units,weighted_average_selling_price,planned_production_units,actual_production_units,effective_capacity_units,utilization_pct,weighted_material_unit_cost,defect_rate,good_units_produced,demand_allocated,sales_units,lost_sales_units,backlog_units_end,ending_inventory,ending_raw_material_inventory,fill_rate,revenue,procurement_cost,production_cost,holding_cost,warranty_cost,backlog_cost,expansion_cost,innovation_investment,interest_expense,working_capital_requirement,planned_borrowing_amount,automatic_borrowing_amount,ending_cash_balance,short_term_debt_balance,liquidity_stress_flag,total_cost,profit,contribution_margin_per_unit,reputation_after_round,average_portfolio_tech_generation,cannibalized_demand_units,beginning_finished_goods_inventory,beginning_raw_material_inventory,raw_material_units_received,raw_material_units_consumed,raw_material_order_qty,backlog_units_start,launch_events_text,notes,run_id,team_count,market_scenario,market_label
2,Team 03,Engineering Challenger,2,1,0,0,0,278,217.55,-60.45,60.45,0.2779,4,159.6,236,236,369,63.96,42.2,0.005,234,217.55,213,0,4,54,125,0.9791,33995.52,12955.4,14911.32,574.0,47.92,40.0,2520.0,4000.0,440.0,13965.71,10000.0,0.0,43525.64,20000.0,True,35488.64,-1493.12,28.55,66.23,2.0,0.0,33,54,307,236,307,0,,"Portfolio forecast WAPE was 27.79% against realized demand. Carried 4 backlog units into next round. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round.",71,6,batch_071,Batch market 071
2,Team 04,Low-Cost Volume,3,1,0,0,0,355,292.43,-62.57,104.37,0.3569,34,109.81,363,363,458,79.26,35.92,0.0372,348,292.43,268,6,28,165,57,0.8803,29427.84,13038.96,15911.55,1104.0,452.16,280.0,1512.0,3000.0,0.0,15206.76,0.0,0.0,18201.15,0.0,False,35298.67,-5870.83,0.09,45.61,1.33,13.58,85,57,363,363,363,12,,Portfolio forecast WAPE was 35.69% against realized demand. Lost 6 sales units across the portfolio. Carried 28 backlog units into next round.,71,6,batch_071,Batch market 071
2,Team 05,Community / Club,3,1,0,0,0,362,264.75,-97.25,141.03,0.5327,257,96.36,335,0,363,0.0,31.5,0.0917,0,264.75,36,185,72,0,0,0.1221,3468.96,13072.5,0.0,0.0,55.54,720.0,1944.0,1500.0,154.0,1050.0,3500.0,0.0,12704.28,7000.0,True,17446.04,-13977.08,-268.31,25.11,1.67,22.28,36,0,0,0,415,30,,"Portfolio forecast WAPE was 53.27% against realized demand. Lost 185 sales units across the portfolio. Carried 72 backlog units into next round. Used $3,500.00 of planned borrowing. Liquidity stress flagged this round.",71,6,batch_071,Batch market 071
2,Team 06,Premium Quality,2,1,0,0,0,200,215.75,15.75,17.39,0.0806,22,174.04,200,200,286,69.93,45.02,0.005,198,215.75,198,0,22,4,76,0.8969,34460.0,9724.32,12657.0,176.0,44.55,220.0,720.0,2500.0,44.0,4154.74,1000.0,0.0,44375.15,2000.0,False,26085.87,8374.13,60.78,72.67,2.0,0.0,4,60,216,200,216,5,,"Portfolio forecast WAPE was 8.06% against realized demand. Carried 22 backlog units into next round. Used $1,000.00 of planned borrowing.",71,6,batch_071,Batch market 071
3,Team 01,Premium Quality,2,1,0,0,0,180,211.07,31.07,47.93,0.2271,55,182.94,176,176,289,60.9,48.84,0.005,174,211.07,173,37,18,1,66,0.7552,31649.1,8156.28,11429.44,138.0,38.93,180.0,576.0,9000.0,462.0,6487.22,7000.0,0.0,53463.97,21000.0,True,29980.65,1668.45,69.51,61.5,2.0,7.99,0,75,167,176,167,18,,"Portfolio forecast WAPE was 22.71% against realized demand. Lost 37 sales units across the portfolio. Carried 18 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round.",71,6,batch_071,Batch market 071
3,Team 02,Sponsorship Growth,3,1,0,0,0,237,304.66,67.66,67.66,0.2221,96,143.05,258,228,323,70.59,42.35,0.0233,221,304.66,221,82,14,0,0,0.6935,31613.88,8978.2,12599.67,0.0,231.94,140.0,0.0,750.0,0.0,0.0,0.0,0.0,61976.93,0.0,False,22699.81,8914.07,44.36,48.16,2.0,12.5,0,16,212,228,212,14,,Portfolio forecast WAPE was 22.21% against realized demand. Lost 82 sales units across the portfolio. Carried 14 backlog units into next round.,71,6,batch_071,Batch market 071
3,Team 03,Engineering Challenger,2,1,0,0,0,278,220.84,-57.16,57.16,0.2588,0,158.04,236,236,404,58.42,43.08,0.005,234,220.84,224,0,0,64,196,0.9963,35400.96,13225.56,15196.64,776.0,50.4,0.0,2520.0,4000.0,660.0,19821.92,10000.0,0.0,52498.0,30000.0,True,36428.6,-1027.64,30.93,70.21,2.0,7.28,54,125,307,236,307,4,,"Portfolio forecast WAPE was 25.88% against realized demand. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round.",71,6,batch_071,Batch market 071
3,Team 04,Low-Cost Volume,3,1,0,0,0,355,299.43,-55.57,119.43,0.3989,61,110.33,363,363,479,75.78,36.68,0.0364,348,299.43,265,33,28,248,57,0.8093,29236.68,13314.84,16214.58,1602.0,436.36,280.0,1512.0,3000.0,0.0,22265.13,0.0,0.0,11078.05,0.0,False,36359.78,-7123.1,-2.75,41.08,1.33,13.57,165,57,363,363,363,28,,Portfolio forecast WAPE was 39.89% against realized demand. Lost 33 sales units across the portfolio. Carried 28 backlog units into next round.,71,6,batch_071,Batch market 071
3,Team 05,Community / Club,3,1,0,0,0,362,287.8,-74.2,144.1,0.5007,84,111.08,335,335,390,85.9,32.16,0.0309,323,287.8,274,12,72,49,80,0.7615,30435.68,13346.4,16682.77,454.0,378.37,720.0,1944.0,1500.0,231.0,8163.81,3500.0,0.0,11383.42,10500.0,False,35256.54,-4820.86,0.1,21.06,1.67,23.73,0,0,415,335,415,72,,"Portfolio forecast WAPE was 50.07% against realized demand. Lost 12 sales units across the portfolio. Carried 72 backlog units into next round. Used $3,500.00 of planned borrowing.",71,6,batch_071,Batch market 071
3,Team 06,Premium Quality,2,1,0,0,0,200,218.21,18.21,49.97,0.229,57,175.52,200,200,296,67.57,45.97,0.005,198,218.21,183,33,24,19,92,0.7618,32120.0,9929.52,12893.95,298.0,41.17,240.0,720.0,2500.0,66.0,6777.6,1000.0,0.0,50806.51,3000.0,False,26688.64,5431.36,50.58,70.51,2.0,8.32,4,76,216,200,216,22,,"Portfolio forecast WAPE was 22.90% against realized demand. Lost 33 sales units across the portfolio. Carried 24 backlog units into next round. Used $1,000.00 of planned borrowing.",71,6,batch_071,Batch market 071
4,Team 01,Premium Quality,2,1,1,0,0,180,211.52,31.52,31.52,0.149,53,182.72,176,176,297,59.26,49.85,0.005,174,211.52,175,35,18,0,57,0.7625,31976.7,8324.95,11637.96,114.0,39.38,180.0,576.0,9000.0,616.0,7041.45,7000.0,0.0,61952.38,28000.0,True,30488.29,1488.41,68.43,58.46,2.0,5.34,1,66,167,176,167,18,,"Portfolio forecast WAPE was 14.90% against realized demand. Lost 35 sales units across the portfolio. Carried 18 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round.",71,6,batch_071,Batch market 071
