run_id,team_count,round_count,strategy_offset,archetype_offset,market_scenario,team_name,archetype,strategy_key,strategy_label,profit_rank,balanced_rank,balanced_score,profit,revenue,total_cost,sales_units,fill_rate,forecast_wape,ending_cash_balance,short_term_debt_balance,cash_minus_debt,liquidity_stress_flag,reputation_after_round,lost_sales_units,backlog_units_end,ending_inventory
84,7,4,3,3,batch_084,Team 07,Community / Club,innovation_leap,Innovation leap,6,7,12.0,-594.21,30550.8,31145.01,231,0.5941,0.3376,52114.35,28000.0,24114.35,True,36.03,138,19,0
84,7,4,3,3,batch_084,Team 06,Low-Cost Volume,balanced_sop,Balanced S&OP,7,6,22.0,-4235.43,33498.0,37733.43,333,0.8421,0.1864,6622.55,4000.0,2622.55,True,37.49,15,46,314
85,4,4,2,2,batch_085,Team 02,Low-Cost Volume,innovation_leap,Innovation leap,1,2,58.7,9524.52,36360.66,26836.14,286,0.7631,0.3518,49241.33,28000.0,21241.33,True,24.56,53,34,63
85,4,4,2,2,batch_085,Team 01,Engineering Challenger,balanced_sop,Balanced S&OP,2,1,60.0,8738.29,32617.0,23878.71,198,0.6191,0.3239,68938.96,4000.0,64938.96000000001,False,40.57,96,24,0
85,4,4,2,2,batch_085,Team 03,Community / Club,cash_conservative,Cash conservative,3,3,33.3,8214.05,22996.92,14782.87,179,0.4556,0.4723,66017.51,0.0,66017.51,False,15.42,201,12,0
85,4,4,2,2,batch_085,Team 04,Premium Quality,aggressive_growth,Aggressive growth,4,4,32.0,4641.86,39991.68,35349.82,240,0.6771,0.1244,86495.5,40000.0,46495.5,True,61.49,64,50,0
86,5,4,1,1,batch_086,Team 03,Low-Cost Volume,innovation_leap,Innovation leap,1,2,57.0,9392.39,35618.73,26226.34,305,0.7089,0.3302,60795.43,28000.0,32795.43,True,16.21,90,34,0
86,5,4,1,1,batch_086,Team 02,Engineering Challenger,balanced_sop,Balanced S&OP,2,1,60.0,8957.61,32617.0,23659.39,198,0.6386,0.3009,69824.82,4000.0,65824.82,False,36.09,87,24,0
86,5,4,1,1,batch_086,Team 04,Community / Club,cash_conservative,Cash conservative,3,4,40.0,8367.09,22996.92,14629.83,179,0.4418,0.4887,67199.43,0.0,67199.43,False,5.34,213,12,0
86,5,4,1,1,batch_086,Team 05,Premium Quality,aggressive_growth,Aggressive growth,4,5,37.0,4046.53,39093.12,35046.59,234,0.6843,0.1174,87668.19,40000.0,47668.19,True,56.68,57,50,0
86,5,4,1,1,batch_086,Team 01,Sponsorship Growth,low_cost_volume,Low-cost volume,5,3,40.0,3117.71,45494.24,42376.53,369,0.7646,0.1118,31556.75,14000.0,17556.75,False,7.97,29,83,0
87,9,4,4,3,batch_087,Team 07,Community / Club,cash_conservative,Cash conservative,1,2,77.5,4151.04,21417.96,17266.92,165,0.7883,0.2828,36662.98,0.0,36662.98,False,38.56,31,12,43
87,9,4,4,3,batch_087,Team 03,Premium Quality,premium_quality,Premium quality,2,1,90.0,155.22,28008.72,27853.5,147,0.9936,0.2167,25536.27,0.0,25536.27,False,85.84,0,0,164
87,9,4,4,3,batch_087,Team 05,Engineering Challenger,balanced_sop,Balanced S&OP,3,3,64.5,-2268.99,24905.0,27173.99,150,0.9923,0.323,28570.98,4000.0,24570.98,True,74.13,0,0,104
87,9,4,4,3,batch_087,Team 09,Sponsorship Growth,premium_quality,Premium quality,4,4,62.5,-4718.51,34216.56,38935.07,222,0.9894,0.2613,8022.66,0.0,8022.66,False,74.93,0,0,306
87,9,4,4,3,batch_087,Team 01,Low-Cost Volume,cash_conservative,Cash conservative,5,5,47.5,-5400.47,18114.18,23514.65,172,0.8826,0.6453,9730.31,0.0,9730.31,False,30.08,5,17,264
87,9,4,4,3,batch_087,Team 06,Low-Cost Volume,innovation_leap,Innovation leap,6,8,19.5,-8009.98,33066.71,41076.69,184,0.9887,0.8538,0.0,43360.93,-43360.93,True,42.85,0,0,336
87,9,4,4,3,batch_087,Team 04,Sponsorship Growth,low_cost_volume,Low-cost volume,7,7,19.5,-14319.08,34309.44,48628.52,267,0.9922,1.2299,0.0,36624.18,-36624.18,True,0.0,0,0,101
87,9,4,4,3,batch_087,Team 08,Premium Quality,aggressive_growth,Aggressive growth,8,6,32.0,-14477.83,25382.4,39860.23,150,0.9959,0.8457,24971.08,40000.0,-15028.919999999998,True,78.62,0,0,147
87,9,4,4,3,batch_087,Team 02,Community / Club,aggressive_growth,Aggressive growth,9,9,0.0,-18347.46,24768.0,43115.46,198,0.7571,0.8882,0.0,40378.49,-40378.49,True,36.04,0,62,233
88,8,4,2,0,batch_088,Team 02,Sponsorship Growth,innovation_leap,Innovation leap,1,2,77.7,7670.33,35887.74,28217.41,192,0.9974,0.4701,26173.32,28000.0,-1826.6800000000003,True,71.91,0,0,287
88,8,4,2,0,batch_088,Team 05,Community / Club,premium_quality,Premium quality,2,3,68.6,6646.55,31725.11,25078.56,159,0.9829,0.4956,17496.0,0.0,17496.0,False,77.66,0,0,199
88,8,4,2,0,batch_088,Team 03,Engineering Challenger,cash_conservative,Cash conservative,3,1,85.7,5249.98,20942.64,15692.66,123,0.994,0.2203,43160.79,0.0,43160.79,False,76.69,0,0,201
88,8,4,2,0,batch_088,Team 08,Engineering Challenger,innovation_leap,Innovation leap,4,5,34.9,622.51,20316.45,19693.94,116,0.6151,0.7177,31325.02,28000.0,3325.0200000000004,True,61.73,53,18,259
88,8,4,2,0,batch_088,Team 01,Premium Quality,balanced_sop,Balanced S&OP,5,4,49.1,-4207.04,21616.0,25823.04,122,0.9895,0.6221,10707.86,4000.0,6707.860000000001,True,82.32,0,0,347
88,8,4,2,0,batch_088,Team 06,Premium Quality,low_cost_volume,Low-cost volume,6,6,23.4,-11337.23,19092.48,30429.71,123,0.9894,1.1155,7006.68,14000.0,-6993.32,True,81.97,0,0,291
88,8,4,2,0,batch_088,Team 07,Sponsorship Growth,balanced_sop,Balanced S&OP,7,7,14.9,-11766.21,24786.0,36552.21,171,0.9891,0.822,0.0,18453.77,-18453.77,True,70.19,0,0,615
88,8,4,2,0,batch_088,Team 04,Low-Cost Volume,aggressive_growth,Aggressive growth,8,8,0.0,-40192.99,12859.2,53052.19,129,0.9855,3.0794,0.0,114098.0,-114098.0,True,40.73,0,0,1221
89,5,4,2,0,batch_089,Team 03,Engineering Challenger,cash_conservative,Cash conservative,1,2,60.0,11130.03,27226.86,16096.83,162,0.4267,0.5926,73087.76,0.0,73087.76,False,6.14,208,9,0
89,5,4,2,0,batch_089,Team 02,Sponsorship Growth,innovation_leap,Innovation leap,2,3,42.0,10068.44,39742.5,29674.06,270,0.4312,0.5316,75003.97,28000.0,47003.97,True,9.66,327,28,0
89,5,4,2,0,batch_089,Team 01,Premium Quality,balanced_sop,Balanced S&OP,3,1,65.0,8216.21,34460.0,26243.79,198,0.4936,0.4697,65426.41,4000.0,61426.41,False,29.94,178,24,0
89,5,4,2,0,batch_089,Team 05,Community / Club,premium_quality,Premium quality,4,4,35.0,6517.36,32782.32,26264.96,241,0.4339,0.5517,52472.83,0.0,52472.83,False,8.73,298,15,0
89,5,4,2,0,batch_089,Team 04,Low-Cost Volume,aggressive_growth,Aggressive growth,5,5,32.0,-11192.52,40554.24,51746.76,422,0.7085,0.2663,16177.32,40000.0,-23822.68,True,17.32,76,96,204
90,10,4,1,2,batch_090,Team 03,Community / Club,innovation_leap,Innovation leap,1,4,60.9,11318.11,31757.67,20439.56,191,0.8031,0.3783,45705.17,28000.0,17705.17,True,55.64,22,24,108
90,10,4,1,2,batch_090,Team 04,Premium Quality,cash_conservative,Cash conservative,2,1,77.8,10050.29,23763.96,13713.67,134,0.7984,0.1413,63042.4,0.0,63042.4,False,71.83,24,9,12
90,10,4,1,2,batch_090,Team 10,Sponsorship Growth,cash_conservative,Cash conservative,3,3,73.3,9243.57,28815.0,19571.43,201,0.845,0.1625,57719.86,0.0,57719.86,False,50.65,21,14,23
90,10,4,1,2,batch_090,Team 09,Premium Quality,innovation_leap,Innovation leap,4,6,40.9,8097.11,27841.8,19744.69,150,0.6041,0.5064,54837.77,28000.0,26837.769999999997,True,70.71,79,18,142
90,10,4,1,2,batch_090,Team 06,Engineering Challenger,premium_quality,Premium quality,5,2,73.3,5379.92,28771.2,23391.28,160,0.9936,0.1178,38794.11,0.0,38794.11,False,78.21,0,0,161
90,10,4,1,2,batch_090,Team 01,Engineering Challenger,low_cost_volume,Low-cost volume,6,5,40.9,2398.66,30322.16,27923.5,208,0.9958,0.6937,27017.52,14000.0,13017.52,True,44.97,0,0,33
90,10,4,1,2,batch_090,Team 08,Community / Club,balanced_sop,Balanced S&OP,7,7,29.8,-544.0,25294.0,25838.0,196,0.7901,0.3885,21943.03,4000.0,17943.03,True,44.86,18,32,153
90,10,4,1,2,batch_090,Team 02,Low-Cost Volume,balanced_sop,Balanced S&OP,8,8,27.6,-13486.7,20483.0,33969.7,196,0.9961,1.0343,0.0,16183.55,-16183.55,True,35.52,0,0,450
