run_id,team_count,round_count,market_scenario,team_name,archetype,strategy_key,strategy_label,profit_rank,balanced_rank,balanced_score,profit,revenue,total_cost,sales_units,fill_rate,forecast_wape,ending_cash_balance,short_term_debt_balance,cash_minus_debt,liquidity_stress_flag,reputation_after_round,lost_sales_units,backlog_units_end,ending_inventory
41,5,4,batch_041,Team 01,Premium Quality,premium_quality,Premium quality,1,1,70.0,12450.37,34192.8,21742.43,182,0.4972,0.4887,77849.04,0.0,77849.04,False,21.43,169,14,0
41,5,4,batch_041,Team 03,Engineering Challenger,balanced_sop,Balanced S&OP,2,2,65.0,10708.39,32617.0,21908.61,198,0.5134,0.4469,76830.26,4000.0,72830.26,False,17.29,163,24,0
41,5,4,batch_041,Team 04,Low-Cost Volume,innovation_leap,Innovation leap,3,3,47.0,10214.0,34682.34,24468.34,313,0.6551,0.3356,70481.74,28000.0,42481.740000000005,True,10.01,129,34,0
41,5,4,batch_041,Team 05,Community / Club,cash_conservative,Cash conservative,4,5,20.0,9375.29,22996.92,13621.63,179,0.38,0.5622,71746.44,0.0,71746.44,False,0.0,278,12,0
41,5,4,batch_041,Team 02,Sponsorship Growth,low_cost_volume,Low-cost volume,5,4,40.0,5150.09,45494.24,40344.15,369,0.6608,0.1411,37885.33,14000.0,23885.33,False,0.0,105,83,0
42,8,4,batch_042,Team 01,Premium Quality,premium_quality,Premium quality,1,2,80.0,9336.21,33013.44,23677.23,175,0.8436,0.1314,63893.66,0.0,63893.66,False,72.38,18,14,40
42,8,4,batch_042,Team 03,Engineering Challenger,balanced_sop,Balanced S&OP,2,1,85.7,8915.14,32319.0,23403.86,196,0.9039,0.0707,57255.17,4000.0,53255.17,False,57.09,0,20,2
42,8,4,batch_042,Team 05,Community / Club,cash_conservative,Cash conservative,3,4,51.4,7791.21,22684.8,14893.59,176,0.6748,0.2763,49638.91,0.0,49638.91,False,20.31,71,12,3
42,8,4,batch_042,Team 07,Sponsorship Growth,premium_quality,Premium quality,4,3,57.1,6352.19,39813.12,33460.93,260,0.8565,0.1503,53249.03,0.0,53249.03,False,60.74,19,23,130
42,8,4,batch_042,Team 04,Low-Cost Volume,innovation_leap,Innovation leap,5,6,23.4,5758.54,33500.88,27742.34,207,0.8615,0.6455,24983.08,28000.0,-3016.9199999999983,True,36.44,0,32,223
42,8,4,batch_042,Team 08,Engineering Challenger,low_cost_volume,Low-cost volume,6,5,37.7,5377.76,34139.6,28761.84,235,0.9886,0.4293,26962.09,14000.0,12962.09,True,23.03,0,2,5
42,8,4,batch_042,Team 06,Premium Quality,aggressive_growth,Aggressive growth,7,7,23.4,-977.51,34151.04,35128.55,201,0.8995,0.437,54778.03,40000.0,14778.029999999999,True,57.29,0,22,53
42,8,4,batch_042,Team 02,Sponsorship Growth,low_cost_volume,Low-cost volume,8,8,9.1,-3535.86,39658.08,43193.94,312,0.9663,0.73,0.0,17408.19,-17408.19,True,0.0,0,10,55
43,9,4,batch_043,Team 05,Community / Club,cash_conservative,Cash conservative,1,2,70.0,8120.65,24459.6,16338.95,191,0.6917,0.2571,57715.39,0.0,57715.39,False,37.64,72,12,16
43,9,4,batch_043,Team 01,Premium Quality,premium_quality,Premium quality,2,1,75.0,7850.17,33350.4,25500.23,177,0.8396,0.119,59314.13,0.0,59314.13,False,71.07,19,14,23
43,9,4,batch_043,Team 03,Engineering Challenger,balanced_sop,Balanced S&OP,3,3,67.0,5899.44,31723.0,25823.56,192,0.8723,0.0705,56315.02,4000.0,52315.02,True,67.31,3,24,35
43,9,4,batch_043,Team 07,Sponsorship Growth,premium_quality,Premium quality,4,4,57.5,4651.91,40690.08,36038.17,267,0.8571,0.1272,47676.66,0.0,47676.66,False,61.95,21,23,97
43,9,4,batch_043,Team 04,Low-Cost Volume,innovation_leap,Innovation leap,5,7,29.5,4162.2,33990.29,29828.09,226,0.8574,0.5331,23950.75,28000.0,-4049.25,True,36.71,2,34,166
