round_number,team_name,product_id,product_name,slot_name,target_segment,lifecycle_stage,age_in_rounds,tech_generation,cannibalization_group,selling_price_per_unit,forecast_units,planned_production_units,actual_production_units,defect_rate,good_units_produced,demand_allocated,actual_demand_units,sales_units,lost_sales_units,ending_inventory,fill_rate,forecast_error_units,absolute_error_units,forecast_bias_pct,mape_or_wape_value,revenue,production_cost,holding_cost,warranty_cost,allocated_procurement_cost,allocated_backlog_cost,allocated_expansion_cost,contribution_margin_per_unit,profit_contribution,beginning_inventory,backlog_units_start,backlog_units_end,tech_gap_to_market,tech_attractiveness_adjustment,cannibalization_in_units,cannibalization_out_units,launched_this_round,launch_event,retired_this_round,retirement_liquidation_revenue,notes,run_id,team_count,market_scenario,market_label
1,Team 04,team_04_B,Club Value,B,beginner,maturity,4,1,entry,102.9,125,123,123,0.0403,118,151.15,151.15,118,28,0,0.7807,26.15,26.15,0.2092,0.173,12142.2,4468.59,50.9,214.26,3254.7,50.0,330.83,38.75,1449.15,0,0,5,-2,0.935,0.0,27.8,False,,False,0.0,Lost 28 sales units. Carried 5 backlog units.,1,4,batch_001,Batch market 001
1,Team 04,team_04_C,Flex Edge,C,mid,launch,1,2,hybrid,128.1,86,84,84,0.0473,80,201.03,201.03,80,104,0,0.398,115.03,115.03,1.3376,0.5722,10248.0,3166.8,34.76,170.36,2222.72,170.0,225.93,62.58,1166.74,0,0,17,-1,0.887,5.43,0.0,False,,False,0.0,Lost 104 sales units. Carried 17 backlog units.,1,4,batch_001,Batch market 001
2,Team 01,team_01_A,Elite Spin Pro,A,premium,growth,2,3,tour,209.52,85,87,87,0.005,86,229.12,229.12,86,142,0,0.3642,144.12,144.12,1.6956,0.629,18018.72,4858.95,71.87,19.35,3725.34,80.0,442.57,110.85,7251.81,0,7,8,0,1.0,0.0,0.0,False,,False,0.0,Lost 142 sales units. Carried 8 backlog units.,1,4,batch_001,Batch market 001
2,Team 01,team_01_B,Control Tour,B,mid,growth,3,2,tour,168.48,95,97,97,0.005,96,209.02,209.02,96,114,0,0.4444,114.02,114.02,1.2002,0.5455,16174.08,5253.52,80.13,21.6,4153.54,60.0,493.43,71.5,4680.69,0,7,6,-1,0.884,0.0,0.0,False,,False,0.0,Lost 114 sales units. Carried 6 backlog units.,1,4,batch_001,Batch market 001
2,Team 01,team_01_C,Club Prestige,C,mid,maturity,4,1,club,149.04,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.71,0.0,0,0,0,-2,0.767,0.0,0.0,False,,False,0.0,,1,4,batch_001,Batch market 001
2,Team 02,team_02_A,Momentum Edge,A,mid,growth,2,2,power,128.48,158,146,0,0.0338,0,208.82,208.82,0,201,0,0.0,50.82,50.82,0.3216,0.2434,0.0,0.0,0.0,0.0,0.0,290.0,0.0,86.47,-840.23,0,22,29,-1,0.884,5.91,0.0,False,,False,0.0,Production capped from 146 to 0 by shared capacity or materials. Lost 201 sales units. Carried 29 backlog units.,1,4,batch_001,Batch market 001
2,Team 02,team_02_B,Rise Power,B,premium,growth,3,3,power,156.64,112,104,0,0.0334,0,202.79,202.79,0,206,0,0.0,90.79,90.79,0.8106,0.4477,0.0,0.0,0.0,0.0,0.0,300.0,0.0,114.63,-834.35,0,34,30,0,1.0,6.73,0.0,False,,False,0.0,Production capped from 104 to 0 by shared capacity or materials. Lost 206 sales units. Carried 30 backlog units.,1,4,batch_001,Batch market 001
2,Team 02,team_02_C,Court Wave,C,beginner,maturity,4,1,entry,91.52,145,134,0,0.0387,0,157.65,157.65,0,160,0,0.0,12.65,12.65,0.0873,0.0803,0.0,0.0,0.0,0.0,0.0,240.0,0.0,49.51,-655.42,0,27,24,-2,0.933,0.0,12.64,False,,False,0.0,Production capped from 134 to 0 by shared capacity or materials. Lost 160 sales units. Carried 24 backlog units.,1,4,batch_001,Batch market 001
2,Team 03,team_03_A,Vector X,A,premium,growth,3,3,engineered,184.0,90,90,90,0.005,89,231.82,231.82,89,143,0,0.3621,141.82,141.82,1.5758,0.6118,16376.0,4748.4,95.4,20.02,3509.89,130.0,388.8,95.13,6215.22,0,14,13,0,1.0,0.0,0.0,False,,False,0.0,Lost 143 sales units. Carried 13 backlog units.,1,4,batch_001,Batch market 001
2,Team 03,team_03_B,Axis Control,B,mid,growth,2,2,engineered,149.0,110,110,110,0.005,109,225.14,225.14,109,115,0,0.4636,115.14,115.14,1.0467,0.5114,16241.0,5582.5,116.6,24.53,4289.87,110.0,475.2,62.14,4410.57,0,10,11,-1,0.884,0.0,0.0,False,,False,0.0,Lost 115 sales units. Carried 11 backlog units.,1,4,batch_001,Batch market 001
2,Team 03,team_03_C,Baseline Drive,C,beginner,maturity,5,1,entry,112.0,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.89,0.0,0,0,0,-2,0.933,0.0,0.0,False,,False,0.0,,1,4,batch_001,Batch market 001
2,Team 04,team_04_A,Starter Pop,A,beginner,growth,3,1,entry,93.45,144,141,141,0.0442,134,240.37,240.37,134,107,0,0.5268,96.37,96.37,0.6692,0.4009,12522.3,5178.93,44.57,266.83,3826.22,130.0,379.24,28.19,-800.36,0,14,13,-2,0.933,23.01,0.0,False,,False,0.0,Lost 107 sales units. Carried 13 backlog units.,1,4,batch_001,Batch market 001
2,Team 04,team_04_B,Club Value,B,beginner,maturity,5,1,entry,102.9,125,123,123,0.0403,118,155.49,155.49,118,37,0,0.7353,30.49,30.49,0.2439,0.1961,12142.2,4573.14,38.88,214.26,3337.76,50.0,330.83,37.19,1335.26,0,5,5,-2,0.933,0.0,28.6,False,,False,0.0,Lost 37 sales units. Carried 5 backlog units.,1,4,batch_001,Batch market 001
2,Team 04,team_04_C,Flex Edge,C,mid,growth,2,2,hybrid,128.1,86,84,84,0.0433,80,222.78,222.78,80,141,0,0.3336,136.78,136.78,1.5905,0.614,10248.0,3239.04,26.55,155.96,2279.45,180.0,225.93,61.01,900.01,0,17,18,-1,0.884,5.59,0.0,False,,False,0.0,Lost 141 sales units. Carried 18 backlog units.,1,4,batch_001,Batch market 001
