run_id,team_count,round_count,market_scenario,market_label,demand_multiplier,demand_growth_delta,premium_share_shift,mid_share_shift,beginner_share_shift,material_cost_index_delta,supply_risk,quality_sensitivity_delta,technology_shift_delta,market_generation_offset,beginner_price_pressure_delta,profit_winner,profit_winner_strategy,profit_winner_profit,balanced_winner,balanced_winner_strategy,balanced_winner_score,service_winner,forecast_winner,cash_winner,average_profit,liquidity_stress_team_count
63,7,4,batch_063,Batch market 063,1.0355,0.0494,-0.0797,-0.002,0.0305,0.0343,Moderate,0.2582,-0.0605,0,0.261,Team 05,Cash conservative,11602.25,Team 01,Premium quality,73.3,Team 02,Team 03,Team 05,4987.33,4
64,7,4,batch_064,Batch market 064,1.083,-0.0451,0.1322,0.0413,-0.0876,-0.0365,High,0.2813,0.0946,-1,0.2365,Team 01,Premium quality,8259.06,Team 01,Premium quality,90.0,Team 06,Team 01,Team 01,4337.07,3
65,7,4,batch_065,Batch market 065,1.6773,-0.0637,0.1299,-0.0236,0.1177,0.0332,Low,-0.1345,0.3446,-1,-0.0103,Team 07,Premium quality,10726.29,Team 07,Premium quality,86.7,Team 02,Team 06,Team 07,6581.31,3
66,4,4,batch_066,Batch market 066,0.8923,-0.0371,-0.0632,-0.0845,-0.0893,0.1975,High,0.2118,-0.0603,0,0.1286,Team 01,Premium quality,7523.19,Team 01,Premium quality,66.7,Team 02,Team 03,Team 01,3624.22,2
67,10,4,batch_067,Batch market 067,1.7102,-0.0162,0.1042,-0.0362,0.1226,0.097,Low,0.1706,0.2086,0,0.0851,Team 10,Innovation leap,10310.6,Team 01,Premium quality,73.3,Team 06,Team 03,Team 05,1851.65,7
68,9,4,batch_068,Batch market 068,0.906,0.0264,0.0549,-0.0087,0.07,-0.022,High,0.015,0.2263,1,0.2669,Team 05,Cash conservative,5059.19,Team 05,Cash conservative,80.0,Team 02,Team 05,Team 05,-5133.98,6
69,8,4,batch_069,Batch market 069,1.6794,-0.0345,0.0019,0.0989,-0.0938,-0.025,High,-0.1051,0.2245,1,0.0522,Team 07,Premium quality,12370.47,Team 07,Premium quality,80.0,Team 02,Team 03,Team 07,7301.4,3
70,6,4,batch_070,Batch market 070,0.7098,0.0278,-0.1228,-0.0421,-0.1068,0.1769,Moderate,-0.1325,0.2237,-1,-0.0142,Team 05,Cash conservative,5465.5,Team 05,Cash conservative,76.0,Team 03,Team 01,Team 05,-4121.38,4
71,6,4,batch_071,Batch market 071,1.041,0.0753,0.1374,-0.0364,-0.0711,0.0807,High,0.2101,0.0888,-1,0.0428,Team 01,Premium quality,9446.76,Team 01,Premium quality,72.0,Team 02,Team 06,Team 01,5877.49,3
72,10,4,batch_072,Batch market 072,1.2012,0.0321,0.0253,0.0266,-0.0847,-0.0277,Moderate,0.3183,-0.0244,0,0.2048,Team 10,Innovation leap,11406.39,Team 01,Premium quality,75.6,Team 06,Team 01,Team 05,-919.27,7
